u_id,address,ptype,rent,deposit,bed,bath,sqfeet,yearbuilt,pet,ceilingFan,furnished,fireplace,cablePaid,securitySystem,laundry,washer,dryer,heatstyle,dishwasher,stove,garbage,refrigerator,microwave,swimming,parking,fence,porch,smoking
4922961,"6200 Loyola Ln 938Austin, Travis County  78724",Apt,"$1,000.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,Not Known,No
4920706,"121 Woodward St Austin, Travis County  78704",Apt,$945.00,$200.00,1,1,400,1985,Yes,Yes,No,No,No,No,Yes,No,No,Boiler,No,Yes,Yes,Yes,No,No,Unassigned,No,None,No
4600558,"10910 N FM 620 Austin, Travis County  78726",Apt,"$1,030.00",$250.00,2,2,1013,2016,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,Unknown,Yes,Not Known,No
4915289,"6200 Loyola Ln Austin, Travis County  78724",Apt,"$1,118.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4915287,"6200 Loyola Ln Austin, Travis County  78724",Apt,$931.00,$150.00,1,1,786,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4913933,"2347 Douglas St Austin, Travis County  78741",Apt,"$1,193.00",$200.00,2,2,963,1999,No,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,Not Known,No
4913928,"2347 Douglas St Austin, Travis County  78741",Apt,"$1,373.00",$300.00,3,2,1202,1966,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Unassigned,No,None,No
4912783,"6200 Loyola Ln Austin, Travis County  78724",Apt,"$1,118.00",$200.00,2,2,1007,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Car Garage,No,Patio,No
4912781,"6200 Loyola Ln Austin, Travis County  78724",Apt,$931.00,$150.00,1,1,786,2007,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4912787,"6200 Loyola Ln Austin, Travis County  78724",Apt,"$1,288.00",$300.00,3,2,N/A,N/A,Yes,Yes,No,No,No,No,No,No,No,Boiler,Yes,Yes,Yes,Yes,Yes,Yes,1 - Carport,No,Patio,No
4912651,"9613 Point Vista Pl AAustin, Travis County  78753",Duplex,"$1,200.00","$1,000.00",2,1,1023,1984,No,No,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,No,1 - Carport,No,Patio,No
4576374,"2201 Montopolis Dr Austin, Travis County  78741",Apt,"$1,160.00","$32,500.00",3,2,1050,2003,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Patio,No
4576373,"2201 Montopolis Dr Austin, Travis County  78741",Apt,$815.00,$125.00,1,1,750,2003,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Balcony,No
4576376,"2201 Montopolis Dr  Austin, Travis County  78741",Apt,"$1,010.00",$225.00,2,2,900,2003,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,No,Yes,Open,No,Patio,No
4894912,"9201 Cameron Road Austin, TRAVIS County  78754",Apt,"$1,207.00",$150.00,2,1,976,2019,Yes,Yes,No,No,No,No,No,No,No,Central,Yes,Yes,Yes,Yes,Yes,Yes,2 Spaces,No,None,Yes
